hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
0,17,0.09231211990118027,0.23801393806934357,0.08881199359893799,0.24042300879955292,0.0024090707302093506,0.6470588235294118,0.4117647058823529,0.23529411764705888,0.4117647058823529,0.4117647058823529,0.5714285714285714,0.7,0.00012964535562787205,-0.0766470655798912,0.04576769471168518,0.2859170734882355,-0.09835860521796835,0.0,0.0024090742911486098
1,17,0.05910778045654297,0.20159249007701874,0.05355469137430191,0.18952856957912445,-0.012063920497894287,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.6363636363636364,0.0022791041992604733,-0.12241175770759583,0.05493643134832382,0.1915838122367859,-0.18230966201372276,0.0,-0.0120639390695621
2,17,0.038125380873680115,0.15078450739383698,0.041253674775362015,0.15819983184337616,0.007415324449539185,0.5882352941176471,0.47058823529411764,0.11764705882352944,0.7647058823529411,0.47058823529411764,0.875,0.3333333333333333,0.014859535731375217,-0.009058824740350246,0.0465097539126873,0.20244228839874268,0.29699541679019587,0.0,0.007415323079947163
3,17,0.019585080444812775,0.1137499064207077,0.025823421776294708,0.13566003739833832,0.021910130977630615,0.7647058823529411,0.7058823529411765,0.05882352941176461,0.7058823529411765,0.7058823529411765,0.8333333333333334,0.6,0.02622142620384693,0.07999999821186066,0.042617857456207275,0.14336051046848297,0.46447077672282844,0.0,0.021910131689818483
4,17,0.0179892648011446,0.11011127382516861,0.019587911665439606,0.11264792829751968,0.0025366544723510742,0.6470588235294118,0.6470588235294118,0.0,0.6470588235294118,0.6470588235294118,0.7272727272727273,0.5,0.015186762437224388,0.006941178347915411,0.03808443993330002,0.13995607197284698,0.2923792711459001,0.0,0.0025366513496812683
5,17,0.02246784046292305,0.1241183951497078,0.018844671547412872,0.10978806018829346,-0.014330334961414337,0.4117647058823529,0.5294117647058824,-0.11764705882352944,0.5294117647058824,0.5294117647058824,0.4444444444444444,0.375,-0.0009902931051328778,-0.0059411777183413506,0.04049122333526611,0.13662636280059814,-0.19314589771873206,0.0,-0.014330330469152497
6,17,0.017744526267051697,0.10622240602970123,0.01676892302930355,0.10195242613554001,-0.004269979894161224,0.47058823529411764,0.4117647058823529,0.05882352941176472,0.47058823529411764,0.4117647058823529,0.42857142857142855,0.5,-0.009792215190827847,-0.05499999597668648,0.035236943513154984,0.11347039043903351,-0.19803318057653713,0.0,-0.004269984660341462
7,13,0.004584504757076502,0.05698077008128166,0.007114651147276163,0.07073643058538437,0.013755660504102707,0.7692307692307693,0.23076923076923078,0.5384615384615385,0.3076923076923077,0.23076923076923078,0.6666666666666666,0.8,-0.0198109932243824,-0.0556153878569603,0.03890952840447426,0.05607212334871292,0.31064289171100207,0.0,0.013755653841564285
8,13,0.01755411922931671,0.10885406285524368,0.015508290380239487,0.10496946424245834,-0.0038845986127853394,0.6923076923076923,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.42857142857142855,1.0,-0.023516207933425903,-0.004307691473513842,0.02992151491343975,0.12398099899291992,-0.12380597506325669,0.0,-0.0038846002605098942
9,16,0.09005732834339142,0.22460433840751648,0.09813481569290161,0.22991175949573517,0.005307421088218689,0.5625,0.4375,0.125,0.125,0.4375,0.14285714285714285,0.8888888888888888,-0.02699391171336174,-0.0650625005364418,0.02313472144305706,0.30476945638656616,0.34120734241325457,0.0,0.0053074358147569
