feature_name,feature_band,feature_min,feature_max,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
h1_close_return_1_31,"(-0.00458, -0.000521]",-0.0035829798772103,-0.0005217559341686,99,0.056376077234745026,0.18465764820575714,0.053674712777137756,0.1667497158050537,-0.01790793240070343,0.47474747474747475,0.5555555555555556,-0.08080808080808083,0.8585858585858586,0.5555555555555556,0.8,0.06818181818181818,0.08359207957983017,0.045232318341732025,0.06685002893209457,0.22856774926185608,0.059147783763434006,0.0,-0.017907945672050115
h1_close_return_1_31,"(-0.000521, 7.72e-05]",-0.0005200834670539,7.678230935592723e-05,98,0.05334562063217163,0.17866933345794678,0.04720861464738846,0.16760806739330292,-0.01106126606464386,0.5306122448979592,0.5,0.030612244897959218,0.8469387755102041,0.5,0.8775510204081632,0.1836734693877551,0.060421038419008255,-0.002653059083968401,0.05758584663271904,0.21704289317131042,0.0422635436052201,0.0,-0.011061299440203873
h1_close_return_1_31,"(7.72e-05, 0.000655]",7.768699908061727e-05,0.0006453210961332,98,0.04089618846774101,0.15766282379627228,0.03563741222023964,0.14448018372058868,-0.013182640075683594,0.5204081632653061,0.6122448979591837,-0.09183673469387754,0.7653061224489796,0.6122448979591837,0.7333333333333333,0.18421052631578946,0.0614129975438118,0.02886734902858734,0.06199284642934799,0.18755382299423218,-0.03515142592188709,0.0,-0.0131826161463954
h1_close_return_1_31,"(0.000655, 0.00722]",0.0006585897051343,0.0072205660304309,99,0.06549318134784698,0.20143355429172516,0.06067595258355141,0.19556406140327454,-0.0058694928884506226,0.5353535353535354,0.5656565656565656,-0.030303030303030276,0.7676767676767676,0.5656565656565656,0.7678571428571429,0.23255813953488372,0.04652954265475273,0.02758585847914219,0.06531080603599548,0.24549615383148193,-0.01872509126550821,0.0,-0.005869537319122541
h1_current_hour_cos,"(-1.001, -0.707]",-1.0,-0.7071067690849304,113,0.050020650029182434,0.17522887885570526,0.0493616946041584,0.17492257058620453,-0.0003063082695007324,0.5486725663716814,0.5929203539823009,-0.04424778761061954,0.8495575221238938,0.5929203539823009,0.835820895522388,0.13043478260869565,0.06255191564559937,0.034407079219818115,0.059939876198768616,0.22052699327468872,0.11334324736389438,0.0,-0.0003063031678310482
h1_current_hour_cos,"(-0.707, 6.12e-17]",-0.5,6.123234262925839e-17,94,0.052472230046987534,0.17098845541477203,0.05416835471987724,0.16337889432907104,-0.007609561085700989,0.4787234042553192,0.5425531914893617,-0.06382978723404248,0.723404255319149,0.5425531914893617,0.6862745098039216,0.23255813953488372,0.04911026731133461,0.039957445114851,0.06498828530311584,0.23045213520526886,0.16502996534836725,0.0,-0.007609544715725202
h1_current_hour_cos,"(6.12e-17, 0.707]",0.258819043636322,0.7071067690849304,102,0.038814038038253784,0.1559303104877472,0.02959420718252659,0.13563378155231476,-0.020296528935432434,0.5294117647058824,0.5980392156862745,-0.06862745098039214,0.8529411764705882,0.5980392156862745,0.819672131147541,0.0975609756097561,0.07589329779148102,0.03408823534846306,0.06300035864114761,0.16994641721248627,-0.19686492202249567,0.0,-0.020296521539635515
h1_current_hour_cos,"(0.707, 1.0]",0.8660253882408142,1.0,85,0.07949411123991013,0.22829307615756989,0.06766258925199509,0.2058258056640625,-0.022467270493507385,0.49411764705882355,0.4823529411764706,0.011764705882352955,0.8,0.4823529411764706,0.8048780487804879,0.20454545454545456,0.06348150968551636,-0.015800002962350845,0.06800348311662674,0.25908392667770386,-0.04142149191458195,0.0,-0.022467292768552014
h1_current_hour_sin,"(-1.001, -0.707]",-1.0,-0.7071067690849304,119,0.05910588055849075,0.18773262202739716,0.059488214552402496,0.1823081076145172,-0.005424514412879944,0.48739495798319327,0.5966386554621849,-0.1092436974789916,0.7563025210084033,0.5966386554621849,0.704225352112676,0.16666666666666666,0.05063224956393242,0.0676470547914505,0.06369199603796005,0.23634330928325653,0.03648565575369609,0.0,-0.005424563553841675
h1_current_hour_sin,"(-0.707, 0.0]",-0.5,0.0,83,0.06444671005010605,0.1970904916524887,0.0651836171746254,0.20446333289146423,0.007372841238975525,0.5903614457831325,0.6265060240963856,-0.03614457831325302,0.7710843373493976,0.6265060240963856,0.7884615384615384,0.25806451612903225,0.051629744470119476,0.05201205238699913,0.061860520392656326,0.25138241052627563,0.08273864859931279,0.0,0.007372839208019072
h1_current_hour_sin,"(0.0, 0.707]",1.2246468525851679e-16,0.7071067690849304,115,0.05908993259072304,0.19296468794345856,0.04971969500184059,0.17382444441318512,-0.019140243530273438,0.5217391304347826,0.5217391304347826,0.0,0.8782608695652174,0.5217391304347826,0.8833333333333333,0.12727272727272726,0.07835382223129272,-0.007756521459668875,0.06205276399850845,0.22246362268924713,0.06033051174148238,0.0,-0.019140284273611453
h1_current_hour_sin,"(0.707, 1.0]",0.8660253882408142,1.0,77,0.027567971497774124,0.1336875706911087,0.016006803140044212,0.10128284245729446,-0.03240472823381424,0.4675324675324675,0.4805194805194805,-0.012987012987012991,0.8311688311688312,0.4805194805194805,0.8108108108108109,0.15,0.07143610715866089,-0.022038958966732025,0.065599225461483,0.12304601818323135,0.03798449498515247,0.0,-0.03240473303254452
h1_current_weekday_cos,"(-0.902, -0.223]",-0.900968849658966,-0.2225209325551986,277,0.051888007670640945,0.18071919679641724,0.04458123818039894,0.16465996205806732,-0.016059234738349915,0.49458483754512633,0.5234657039711191,-0.0288808664259928,0.8339350180505415,0.5234657039711191,0.8137931034482758,0.14393939393939395,0.06727451831102371,0.010660650208592415,0.06068176403641701,0.2111174613237381,-0.016783174128469025,0.0,-0.016059243953232032
h1_current_weekday_cos,"(-0.223, 0.623]",0.6234897971153259,0.6234897971153259,72,0.05732113867998123,0.1746935099363327,0.05620087683200836,0.16471733152866364,-0.009976178407669067,0.5277777777777778,0.6111111111111112,-0.08333333333333337,0.7222222222222222,0.6111111111111112,0.7045454545454546,0.25,0.04549117758870125,0.04758332669734955,0.06969089061021805,0.23363633453845978,0.0652853862484036,0.0,-0.009976186530871518
h1_current_weekday_cos,"(0.623, 1.0]",1.0,1.0,45,0.0622367262840271,0.1899205893278122,0.06764804571866989,0.19962777197360992,0.00970718264579773,0.6222222222222222,0.6888888888888889,-0.06666666666666665,0.8,0.6888888888888889,0.8064516129032258,0.21428571428571427,0.06469710171222687,0.07553333044052124,0.07289319485425949,0.2510089576244354,0.16941712625578464,0.0,0.009707143592337769
h1_current_weekday_sin,"(-0.976, -0.434]",-0.9749279022216796,-0.4338837265968323,124,0.04738892614841461,0.17326116561889648,0.04129602387547493,0.1635742485523224,-0.009686917066574097,0.5483870967741935,0.5161290322580645,0.032258064516129004,0.9193548387096774,0.5161290322580645,0.953125,0.11666666666666667,0.07652555406093597,-0.0051774196326732635,0.0554182231426239,0.20282481610774994,0.1554925785443095,0.0,-0.009686945665312259
h1_current_weekday_sin,"(-0.434, 0.434]",0.0,0.4338837265968323,126,0.05702228099107742,0.18593642115592957,0.05549214780330658,0.18324816226959229,-0.0026882588863372803,0.5079365079365079,0.6111111111111112,-0.10317460317460325,0.753968253968254,0.6111111111111112,0.7142857142857143,0.1836734693877551,0.05449265241622925,0.040492065250873566,0.06611722707748413,0.23323136568069458,0.06297068323045453,0.0,-0.0026882868260145213
h1_current_weekday_sin,"(0.434, 0.782]",0.7818315029144287,0.7818315029144287,72,0.05732113867998123,0.1746935099363327,0.05620087683200836,0.16471733152866364,-0.009976178407669067,0.5277777777777778,0.6111111111111112,-0.08333333333333337,0.7222222222222222,0.6111111111111112,0.7045454545454546,0.25,0.04549117758870125,0.04758332669734955,0.06969089061021805,0.23363633453845978,0.0652853862484036,0.0,-0.009976186530871518
h1_current_weekday_sin,"(0.782, 0.975]",0.9749279022216796,0.9749279022216796,72,0.05711941048502922,0.1901843249797821,0.045561764389276505,0.15585538744926453,-0.03432893753051758,0.4583333333333333,0.4861111111111111,-0.02777777777777779,0.8055555555555556,0.4861111111111111,0.7714285714285715,0.16216216216216217,0.07209954410791397,0.026277778670191765,0.06399717926979065,0.21261534094810486,-0.21014714961443554,0.0,-0.034328940427965596
h1_ma_gap_sma20_31,"(-1.0259999999999998, -0.0886]",-1.0251499999999965,-0.0888499999999794,99,0.04510871320962906,0.1667889505624771,0.046066317707300186,0.16542913019657135,-0.0013598203659057617,0.5353535353535354,0.6767676767676768,-0.14141414141414144,0.7777777777777778,0.6767676767676768,0.7313432835820896,0.125,0.05242401733994484,0.06262625753879547,0.057719677686691284,0.20740310847759247,0.056092180881878166,0.0,-0.0013597933928284657
h1_ma_gap_sma20_31,"(-0.0886, 0.107]",-0.0878999999999905,0.1067999999999926,98,0.04507462680339813,0.1755998730659485,0.037892092019319534,0.15612874925136566,-0.019471123814582825,0.45918367346938777,0.5408163265306123,-0.08163265306122452,0.7755102040816326,0.5408163265306123,0.7169811320754716,0.15555555555555556,0.05713079869747162,0.035030607134103775,0.06522420048713684,0.1926875114440918,-0.12744914676782249,0.0,-0.019471130809005418
h1_ma_gap_sma20_31,"(0.107, 0.281]",0.1075000000000159,0.2809000000000026,98,0.060011401772499084,0.1763520985841751,0.0581495501101017,0.1717124879360199,-0.004639610648155212,0.5918367346938775,0.5408163265306123,0.05102040816326525,0.8061224489795918,0.5408163265306123,0.8679245283018868,0.26666666666666666,0.06205336004495621,0.014663263224065304,0.06330917030572891,0.241032674908638,0.14218041336177667,0.0,-0.004639626917790386
h1_ma_gap_sma20_31,"(0.281, 1.286]",0.2811000000000092,1.286249999999967,99,0.06602586805820465,0.2038401961326599,0.055222030729055405,0.18129070103168488,-0.022549495100975037,0.47474747474747475,0.47474747474747475,0.0,0.8787878787878788,0.47474747474747475,0.8723404255319149,0.11538461538461539,0.08032071590423584,-0.01305050402879715,0.06759101152420044,0.23410236835479736,0.06524561555196118,0.0,-0.02254950242926075
h1_ma_gap_sma50_31,"(-1.051, -0.0898]",-1.0503599999999835,-0.0912600000000054,99,0.057619042694568634,0.19432948529720306,0.05769142881035805,0.19261690974235535,-0.0017125755548477173,0.5050505050505051,0.6363636363636364,-0.13131313131313127,0.7070707070707071,0.6363636363636364,0.6666666666666666,0.2222222222222222,0.04175009950995445,0.05676767975091934,0.0603780634701252,0.2350616455078125,0.05305512500417794,0.0,-0.001712548826360188
h1_ma_gap_sma50_31,"(-0.0898, 0.251]",-0.0855600000000151,0.2504200000000196,98,0.04179590195417404,0.14866970479488373,0.04247751086950302,0.14651259779930115,-0.0021571069955825806,0.5612244897959183,0.5816326530612245,-0.020408163265306145,0.7959183673469388,0.5816326530612245,0.8070175438596491,0.21951219512195122,0.05452251061797142,0.0340714268386364,0.061553310602903366,0.2043672651052475,0.16603008547694276,0.0,-0.0021571087822013896
h1_ma_gap_sma50_31,"(0.251, 0.655]",0.2508400000000108,0.6477799999999831,98,0.07353802770376205,0.21379424631595612,0.06403215229511261,0.1936284601688385,-0.020165786147117615,0.5102040816326531,0.4897959183673469,0.020408163265306145,0.8775510204081632,0.4897959183673469,0.8958333333333334,0.14,0.07692036032676697,0.0028571418952196836,0.06452374160289764,0.2530050277709961,0.0037426077745630953,0.0,-0.02016578029309
h1_ma_gap_sma50_31,"(0.655, 1.487]",0.6571799999999826,1.486940000000004,99,0.04337115213274956,0.16589392721652985,0.033234626054763794,0.1419273465871811,-0.023966580629348755,0.48484848484848486,0.5252525252525253,-0.04040404040404044,0.8585858585858586,0.5252525252525253,0.8269230769230769,0.10638297872340426,0.07885976135730743,0.0054444423876702785,0.06357970833778381,0.18229320645332336,-0.030549822612246154,0.0,-0.023966556367925322
h1_macd_31,"(-0.32, -0.0309]",-0.3191687643878822,-0.0311376549464341,99,0.059034161269664764,0.19938988983631134,0.05842500925064087,0.1967562735080719,-0.002633616328239441,0.5050505050505051,0.6262626262626263,-0.12121212121212122,0.6767676767676768,0.6262626262626263,0.6451612903225806,0.2702702702702703,0.03665042296051979,0.052636366337537766,0.0625779926776886,0.23744139075279236,0.051007862765429665,0.0,-0.0026336277745701727
h1_macd_31,"(-0.0309, 0.0787]",-0.0303783216248518,0.0785231048229775,98,0.04042430967092514,0.15257255733013153,0.03690433129668236,0.14810623228549957,-0.004466325044631958,0.5204081632653061,0.5408163265306123,-0.020408163265306145,0.8163265306122449,0.5408163265306123,0.8113207547169812,0.17777777777777778,0.05286889523267746,0.004877550061792135,0.05659825727343559,0.19208848476409912,0.09107023552981286,0.0,-0.004466325671849192
h1_macd_31,"(0.0787, 0.167]",0.0789273617843662,0.1650649290237424,98,0.07339593023061752,0.20319868624210358,0.07140570878982544,0.19317376613616943,-0.010024920105934143,0.5612244897959183,0.5510204081632653,0.010204081632653073,0.8877551020408163,0.5510204081632653,0.9074074074074074,0.13636363636363635,0.08106458187103271,0.04501020163297653,0.06099104881286621,0.2645580768585205,0.05004017293529613,0.0,-0.010024915354288353
h1_macd_31,"(0.167, 0.395]",0.1677842931150337,0.3950267411128436,99,0.043454430997371674,0.16745857894420624,0.030718853697180748,0.13666057586669922,-0.03079800307750702,0.47474747474747475,0.5151515151515151,-0.04040404040404039,0.8585858585858586,0.5151515151515151,0.8235294117647058,0.10416666666666667,0.08149397373199463,-0.0032525279093533754,0.06553956866264343,0.17494410276412964,-0.05981223351310717,0.0,-0.03079801791281712
h1_macd_hist_31,"(-0.13, -0.034]",-0.1289947326916036,-0.0340593400036402,99,0.04694002494215965,0.16840150952339172,0.043928541243076324,0.15640656650066376,-0.011994943022727966,0.5151515151515151,0.5959595959595959,-0.08080808080808077,0.797979797979798,0.5959595959595959,0.7627118644067796,0.15,0.057991500943899155,0.027797983959317207,0.05978301540017128,0.2085961252450943,0.04241911895678516,0.0,-0.011994938422558887
