hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0,17,0.09528956562280655,0.24033953249454498,0.08881199359893799,0.24042300879955292,8.347630500793457e-05,0.5882352941176471,0.4117647058823529,0.17647058823529416,0.5882352941176471,0.4117647058823529,0.7142857142857143,0.5,0.01629272848367691,-0.0766470655798912,0.038033999502658844,0.2859170734882355,-0.15893036180997336,0.0,8.350714822026676e-05,0.6970530152320862,0.5,0.8333333333333334,1.0,0.25,0.5109012722969055,0.013835607096552849,6,0.35294117647058826
1,17,0.062267154455184937,0.20391644537448883,0.05355469137430191,0.18952856957912445,-0.01438787579536438,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.5882352941176471,0.35294117647058826,0.6666666666666666,0.45454545454545453,0.019176792353391647,-0.12241175770759583,0.044994305819272995,0.1915838122367859,-0.20248952234955464,0.0,-0.01438790740554822,0.7145876288414001,0.25,0.75,0.0,0.25,0.5103057026863098,0.017231633886694908,4,0.23529411764705882
2,17,0.03973332419991493,0.14984482526779175,0.041253674775362015,0.15819983184337616,0.008355006575584412,0.5294117647058824,0.47058823529411764,0.05882352941176472,0.8235294117647058,0.47058823529411764,0.875,0.2222222222222222,0.031985875219106674,-0.009058824740350246,0.03592231869697571,0.20244228839874268,0.2904647679532643,0.0,0.008355012108736175,0.710400402545929,0.2,0.8,0.5,0.0,0.5184285044670105,0.015411262400448322,5,0.29411764705882354
3,17,0.01954357512295246,0.11332446336746216,0.025823421776294708,0.13566003739833832,0.02233557403087616,0.7058823529411765,0.7058823529411765,0.0,0.8823529411764706,0.7058823529411765,0.9166666666666666,0.2,0.04228593409061432,0.07999999821186066,0.035802632570266724,0.14336051046848297,0.361685856781364,0.0,0.022335577591815432,0.6652393341064453,0.5,0.5,0.5,0.0,0.514449417591095,0.01753552258014679,2,0.11764705882352941
4,17,0.0195769015699625,0.10779643803834915,0.019587911665439606,0.11264792829751968,0.004851490259170532,0.5882352941176471,0.6470588235294118,-0.05882352941176472,0.8235294117647058,0.6470588235294118,0.8181818181818182,0.16666666666666666,0.03077622316777706,0.006941178347915411,0.030434075742959976,0.13995607197284698,0.17668318403114958,0.0,0.004851492176599362,0.6873133182525635,1.0,0.0,0.0,1.0,0.49707454442977905,0.0,1,0.058823529411764705
5,17,0.02130005694925785,0.11591975390911102,0.018844671547412872,0.10978806018829346,-0.006131693720817566,0.5294117647058824,0.5294117647058824,0.0,0.6470588235294118,0.5294117647058824,0.6666666666666666,0.375,0.01488572545349598,-0.0059411777183413506,0.03535573557019234,0.13662636280059814,-0.09828183001210052,0.0,-0.006131689009421019,0.699246346950531,0.0,1.0,0.0,0.0,0.5030403137207031,0.0,1,0.058823529411764705
6,17,0.017955921590328217,0.10066747665405273,0.01676892302930355,0.10195242613554001,0.0012849494814872742,0.47058823529411764,0.4117647058823529,0.05882352941176472,0.5882352941176471,0.4117647058823529,0.5714285714285714,0.4,0.005962107330560684,-0.05499999597668648,0.03768092021346092,0.11347039043903351,0.006529774172889378,0.0,0.0012849513989160993,0.6979456543922424,0.0,1.0,0.0,0.0,0.5023934841156006,0.0,1,0.058823529411764705
7,13,0.006816998589783907,0.06534671783447266,0.007114651147276163,0.07073643058538437,0.005389712750911713,0.6923076923076923,0.23076923076923078,0.4615384615384615,0.38461538461538464,0.23076923076923078,0.6666666666666666,0.7,-0.0009750603348948061,-0.0556153878569603,0.042929522693157196,0.05607212334871292,0.24003357555176683,0.0,0.005389711103187162,,,,,,,,0,0.0
8,13,0.018160255625844002,0.11707025021314621,0.015508290380239487,0.10496946424245834,-0.012100785970687866,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.3076923076923077,0.5384615384615384,0.14285714285714285,0.5,-0.005398161243647337,-0.004307691473513842,0.03405718132853508,0.12398099899291992,-0.19276566970777945,0.0,-0.012100791200422328,0.6702583432197571,1.0,0.6666666666666666,1.0,1.0,0.5079693794250488,0.010727502405643463,3,0.23076923076923078
9,16,0.09287287294864655,0.22505703568458557,0.09813481569290161,0.22991175949573517,0.004854723811149597,0.625,0.4375,0.1875,0.3125,0.4375,0.42857142857142855,0.7777777777777778,-0.013365093618631363,-0.0650625005364418,0.030879439786076546,0.30476945638656616,0.19326714226728584,0.0,0.0048547315527684935,0.6873712539672852,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.75,0.49407753348350525,0.018801385536789894,7,0.4375
