hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
0,17,0.09503120183944702,0.2402857542037964,0.08881199359893799,0.24042300879955292,0.00013725459575653076,0.5294117647058824,0.4117647058823529,0.11764705882352944,0.5294117647058824,0.4117647058823529,0.5714285714285714,0.5,0.015318944118916988,-0.0766470655798912,0.0377567782998085,0.2859170734882355,-0.15744399831265296,0.0,0.00013721882201291955,0.7084389328956604,0.35294117647058826,0.9411764705882353,0.8571428571428571,0.0,0.5253179669380188,0.015057641081511974
1,17,0.061950214207172394,0.20335353910923004,0.05355469137430191,0.18952856957912445,-0.01382496953010559,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.5882352941176471,0.35294117647058826,0.6666666666666666,0.45454545454545453,0.018430069088935852,-0.12241175770759583,0.04479462653398514,0.1915838122367859,-0.1982582845876217,0.0,-0.013825002455097771,0.7261472940444946,0.35294117647058826,1.0,1.0,0.0,0.5319272875785828,0.015915412455797195
2,17,0.03968314453959465,0.14983880519866943,0.041253674775362015,0.15819983184337616,0.008361026644706726,0.5294117647058824,0.47058823529411764,0.05882352941176472,0.8235294117647058,0.47058823529411764,0.875,0.2222222222222222,0.03137049078941345,-0.009058824740350246,0.03593520447611809,0.20244228839874268,0.2904273012907004,0.0,0.008361001718131944,0.6997685432434082,0.5294117647058824,0.9411764705882353,1.0,0.1111111111111111,0.5365239977836609,0.018089741468429565
3,17,0.019460126757621765,0.1128530278801918,0.025823421776294708,0.13566003739833832,0.022807009518146515,0.7058823529411765,0.7058823529411765,0.0,0.8823529411764706,0.7058823529411765,0.9166666666666666,0.2,0.04158363118767738,0.07999999821186066,0.035769496113061905,0.14336051046848297,0.37513957344256865,0.0,0.022807000040569746,0.6494521498680115,0.7058823529411765,1.0,1.0,0.0,0.5394706130027771,0.0173138789832592
4,17,0.01945570856332779,0.10757535696029663,0.019587911665439606,0.11264792829751968,0.005072571337223053,0.5882352941176471,0.6470588235294118,-0.05882352941176472,0.8235294117647058,0.6470588235294118,0.8181818181818182,0.16666666666666666,0.029905442148447037,0.006941178347915411,0.030299292877316475,0.13995607197284698,0.18598904457890167,0.0,0.005072563284021976,0.6713935136795044,0.6470588235294118,1.0,1.0,0.0,0.5357650518417358,0.016040168702602386
5,17,0.021320516243577003,0.11618068069219589,0.018844671547412872,0.10978806018829346,-0.006392620503902435,0.5294117647058824,0.5294117647058824,0.0,0.6470588235294118,0.5294117647058824,0.6666666666666666,0.375,0.013714570552110672,-0.0059411777183413506,0.03531185910105705,0.13662636280059814,-0.10575953401598588,0.0,-0.0063926184221225445,0.6944233775138855,0.5294117647058824,1.0,1.0,0.0,0.532616138458252,0.011897535994648933
6,17,0.017769692465662956,0.10048601031303406,0.01676892302930355,0.10195242613554001,0.001466415822505951,0.47058823529411764,0.4117647058823529,0.05882352941176472,0.5882352941176471,0.4117647058823529,0.5714285714285714,0.4,0.004515715874731541,-0.05499999597668648,0.03734250366687775,0.11347039043903351,0.005005486717550134,0.0,0.0014664168633958827,0.6939253807067871,0.4117647058823529,1.0,1.0,0.0,0.5300513505935669,0.01125816348940134
7,13,0.006691962480545044,0.06432704627513885,0.007114651147276163,0.07073643058538437,0.006409384310245514,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.3333333333333333,0.7,-0.0022192252799868584,-0.0556153878569603,0.04289151728153229,0.05607212334871292,0.23761819705787515,0.0,0.006409382250589822,0.7218455076217651,0.23076923076923078,1.0,1.0,0.0,0.5282762050628662,0.014562803320586681
8,13,0.018169794231653214,0.11706124246120453,0.015508290380239487,0.10496946424245834,-0.012091778218746185,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.3076923076923077,0.5384615384615384,0.14285714285714285,0.5,-0.006953035481274128,-0.004307691473513842,0.03415614366531372,0.12398099899291992,-0.1918505759896248,0.0,-0.012091788463294503,0.6947020292282104,0.5384615384615384,1.0,1.0,0.0,0.5241028070449829,0.012609201483428478
9,16,0.0925845354795456,0.2253224402666092,0.09813481569290161,0.22991175949573517,0.0045893192291259766,0.5625,0.4375,0.125,0.25,0.4375,0.2857142857142857,0.7777777777777778,-0.014871558174490929,-0.0650625005364418,0.03076937608420849,0.30476945638656616,0.2007866125846078,0.0,0.004589326039422295,0.6995750069618225,0.5,0.9375,1.0,0.1111111111111111,0.52181077003479,0.012627562507987022
