hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
0,17,0.09040343016386032,0.23777984082698822,0.08881199359893799,0.24042300879955292,0.0026431679725646973,0.5882352941176471,0.4117647058823529,0.17647058823529416,0.8235294117647058,0.4117647058823529,1.0,0.3,0.01284002885222435,-0.0766470655798912,0.0200328528881073,0.2859170734882355,-0.021439661743615477,0.0,0.0026431705679415877
1,17,0.05399340018630028,0.1894373595714569,0.05355469137430191,0.18952856957912445,9.12100076675415e-05,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.5882352941176471,0.35294117647058826,0.6666666666666666,0.45454545454545453,0.007819884456694126,-0.12241175770759583,0.018670065328478813,0.1915838122367859,0.0027696420142831707,0.0,9.118201320663892e-05
2,17,0.0426713302731514,0.15651455521583557,0.041253674775362015,0.15819983184337616,0.0016852766275405884,0.6470588235294118,0.47058823529411764,0.17647058823529416,0.5882352941176471,0.47058823529411764,0.75,0.5555555555555556,0.0064949835650622845,-0.009058824740350246,0.013804287649691105,0.20244228839874268,-0.22471632234010708,0.0,0.0016852747131077526
3,17,0.026199329644441605,0.13741910457611084,0.025823421776294708,0.13566003739833832,-0.001759067177772522,0.47058823529411764,0.7058823529411765,-0.23529411764705888,0.6470588235294118,0.7058823529411765,0.5833333333333334,0.2,0.006231661420315504,0.07999999821186066,0.013446668162941933,0.14336051046848297,-0.0063582848690659855,0.0,-0.0017590645823956216
4,17,0.01977289468050003,0.11423926800489426,0.019587911665439606,0.11264792829751968,-0.0015913397073745728,0.35294117647058826,0.6470588235294118,-0.29411764705882354,0.5882352941176471,0.6470588235294118,0.45454545454545453,0.16666666666666666,0.005153958685696125,0.006941178347915411,0.01244857907295227,0.13995607197284698,-0.007757197854244493,0.0,-0.001591336673728252
5,17,0.01909273862838745,0.10972276329994202,0.018844671547412872,0.10978806018829346,6.529688835144043e-05,0.47058823529411764,0.5294117647058824,-0.05882352941176472,0.5882352941176471,0.5294117647058824,0.5555555555555556,0.375,0.0031243278644979,-0.0059411777183413506,0.01560444850474596,0.13662636280059814,-0.023521482942679632,0.0,6.529966862324406e-05
6,17,0.017159683629870415,0.10562959313392639,0.01676892302930355,0.10195242613554001,-0.003677166998386383,0.35294117647058826,0.4117647058823529,-0.05882352941176466,0.47058823529411764,0.4117647058823529,0.2857142857142857,0.4,0.00040925611392594874,-0.05499999597668648,0.01816459186375141,0.11347039043903351,-0.21444812665895988,0.0,-0.0036771720932687094
7,13,0.006479373201727867,0.06525177508592606,0.007114651147276163,0.07073643058538437,0.005484655499458313,0.5384615384615384,0.23076923076923078,0.30769230769230765,0.38461538461538464,0.23076923076923078,0.3333333333333333,0.6,-0.0010982458479702473,-0.0556153878569603,0.016922341659665108,0.05607212334871292,-0.04047254295343547,0.0,0.005484651362236886
8,13,0.01554796565324068,0.10647781938314438,0.015508290380239487,0.10496946424245834,-0.0015083551406860352,0.38461538461538464,0.5384615384615384,-0.1538461538461538,0.38461538461538464,0.5384615384615384,0.2857142857142857,0.5,-0.0028940027114003897,-0.004307691473513842,0.013121106661856174,0.12398099899291992,-0.0007723176573173043,0.0,-0.0015083526870092643
9,16,0.0949559286236763,0.2251230925321579,0.09813481569290161,0.22991175949573517,0.0047886669635772705,0.625,0.4375,0.1875,0.3125,0.4375,0.42857142857142855,0.7777777777777778,-0.0060836817137897015,-0.0650625005364418,0.014820095151662827,0.30476945638656616,0.18006844094239327,0.0,0.004788667618413455
10,16,0.07353690266609192,0.23243695497512817,0.07087323069572449,0.2307996302843094,-0.0016373246908187866,0.3125,0.4375,-0.125,0.5,0.4375,0.2857142857142857,0.3333333333333333,-0.004771449603140354,-0.013249997980892658,0.016018861904740334,0.2654184103012085,-0.32475037476883617,0.0,-0.001637329914956357
11,16,0.0430791899561882,0.17057940363883972,0.03926468268036842,0.16420036554336548,-0.006379038095474243,0.4375,0.5625,-0.125,0.375,0.5625,0.3333333333333333,0.5714285714285714,-0.004057856276631355,0.05387499928474426,0.016911692917346954,0.1926252394914627,-0.3580047934796174,0.0,-0.006379033893608734
12,16,0.021726399660110474,0.11705171316862106,0.020916279405355453,0.11085110157728195,-0.006200611591339111,0.4375,0.6875,-0.25,0.5,0.6875,0.45454545454545453,0.4,0.0004545943229459226,0.023374997079372406,0.01765846647322178,0.14373929798603058,-0.04496241699521448,0.0,-0.00620060999062844
13,16,0.030827943235635757,0.15028046071529388,0.030352246016263962,0.15192647278308868,0.0016460120677947998,0.8125,0.75,0.0625,0.5625,0.75,0.75,1.0,0.0009655487374402583,0.09849999845027924,0.01687074638903141,0.14850084483623505,0.20399559344392956,0.0,0.0016460194892715615
